Series;Solvent;pH;Mechanism;Ox-Red;Equation;Delta(pi)R;Rho(pi)R;EH(SCE);Remark
OHC-Z;Water+0.1M LiOH;X;N;R;29;X;0.35;-1.87;
C6H5CO-Z;Water+acetate;5;N;R;29;X;0.31;-1.29;
C6H5CO-Z;Water+NH3+NH4+;9;N;R;29;X;0.39;-1.48;
C6H5CO-Z;Water+buffer;0;N;R;29;X;0.39;-1.02;
C6H5CO-Z;30% i-PrOH+buffer;14;N;R;29;X;0.42;-1.58;
C6H5CO-Z;Water+0.1M LiOH;X;N;R;29;X;0.16;-1.61;
CH3C(NH)-Z;Water+0.1M NH3+1M NH4Cl;8.2;N;R;29;X;0.31;-1.44;
C6H5C(NOH)-Z;3% i-PrOH with buffer+NH4+;X;N;R;29;X;0.48;-1.77;
C6H5C(NOH)-Z;Water+buffer;14;N;R;29;X;0.31;-1.82;
C6H5C(NOH)-Z;Water+buffer;0;N;R;29;X;0.31;-0.85;
C6H5C(NOH)-Z;Water+buffer;0;N;R;29;X;0.36;-0.77;
C6H5C6H4C(NOH)-Z;30% i-PrOH with buffer;0;N;R;29;X;0.22;-0.70;
C6H5C(NOH)CO-Z;Water+buffer;0;N;R;29;X;0.18;-0.49;
H2NCONHN=CH-Z;;Water+acetate+0.0016% Triton X;4.7;N;R;29;X;0.21;-1.16;
H2NCONHN=C(CH3)-Z;Water+acetate;5.3;N;R;29;X;0.31;-1.15;
Z-C(CH3)=NNHCOCH2N(CH3)3Cl;50% EtOH with Britton-Robinson+0.2M KCl;8.50;N;R;29;X;0.15;-1.50;
Z-C(C2H5)=NNHCOCH2N(CH3)3Cl;50% EtOH with Britton-Robinson+0.2M KCl;8.50;N;R;29;X;0.24;-1.51;
Z-C(C3H7)=NNHCOCH2N(CH3)3Cl;50% EtOH with Britton-Robinson+0.2M KCl;8.50;N;R;29;X;0.27;-1.51;
Z-C(i-C3H7)=NNHCOCH2N(CH3)3Cl;50% EtOH with Britton-Robinson+0.2M KCl;8.50;N;R;29;X;0.27;-1.54;
H2C=C(CH3)COO-Z;0.1M Me4NI in 50% EtOH;X;N;R;29;X;0.80;-1.82;
H2C=C(CH3)COO-Z;0.1M Me4NBr in 50% EtOH;X;N;R;29;X;0.60;-1.95;
H2C=C(CH3)COO-Z;0.1M Li2SO4 in 10% MeOH;X;N;R;29;X;0.76;-1.88;
C6H5COO-Z;Water;6.7;N;R;29;X;0.30;-2.12;
o-C6H4(COO-Z)2;0.5M Me4NCl in 20% EtOH+0.001% gelatine;X;N;R;29;X;0.30;-1.77;1st wave
o-C6H4(COO-Z)2;0.6M Me4NCl in 60% EtOH+0.001% gelatine;X;N;R;29;X;0.42;-1.73;1st wave
o-C6H4(COO-Z)2;60% EtOH with buffer+0.001% gelatine;10;N;R;29;X;0.39;-1.77;1st wave
Z-NO2;Water+buffer;7.0;N;R;29;X;0.08;-0.88;
Z-NO2;Water+buffer;8.9;N;R;29;X;0.22;-0.92;
Z-NO2;Water+glycine+0.005% bromocresol green+0.005% methyl red;10.9;N;R;29;X;0.20;-0.94;
Z-NO2;Water+buffer;11.9;N;R;29;X;0.12;-0.96;
Z-NO2;Water+Clark-Lubs;5.0;N;R;29;X;0.13;-0.80;
Z-NO2;Water+Clark-Lubs;6.0;N;R;29;X;0.19;-0.85;
Z-NO2;Water+Clark-Lubs;7.0;N;R;29;X;0.26;-0.88;
